text,predicted_emotion
coffee probably day two need open though probably good given roasted yesterday wine _,positive
cant sleep know youre saying quotso whats newquot,negative
ate cracker barrell family saw perfect birthday card haha good times,positive
wondering sad im sad ilove u demi,negative
im foyles jazz cafe want eat everything settled apple cake anyones say hi,positive
yes sure,positive
thought id put follow list since live favourite place ive lucky wish lived,positive
wednesday going recording day sick new stuff planned,negative
doesnt feel much better im weak much congestion,negative
monday funday already better expected,negative
home alone day 3 boooring cant sleep day tried,negative
oh gtfo random singing teenager good looking cost puppet man position final,positive
soo bored exams 2weeks go one go sad,negative
come singapore please,positive
wearing halo 2 quoti see dead peoplequot shirt work lets call experiment co workers perception,negative
watching lion man,positive
ooohwee hope ur night ended fulfilling,positive
looks good lot weird looking simply exist,positive
good point im still season 2 bsg though trying best catchup thanks netflix,positive
awesome day family sleepover amusement park rides video games favorite restaurant mall hopping ice cream bliss,positive
aah want eat sushi,positive
cant waiiiiiiiit till tonighttt x,negative
cant vote text since dont verizon theres computer around vote cmtcom,negative
love cook,positive
thnx sweety lt3 wish best next school week youll make,positive
dog ate hat funny,negative
bought new pair converse pretty collection slowly growing,positive
want keep raining flood school,negative
watching second season work tonight currently midst time travel saga,positive
concerned italians missing opportunity change things voting referendum,negative
went last night 4 hours sleeponly logical thing homework rightwish couldve bamboozle yesterday,negative
finished homework sleep people btw j thanks great day,positive
could new look ill photoshop work see looks like,negative
actually found article thanks anyway,positive
thank much,positive
happy yaaaaaaay,positive
exactly would talk basics guess,negative
love ur work pleaseeee answer tweet,positive
friend knew online last night finally added messenger,positive
well said id like thank moses well saving people stonewall moseswant cover bases,positive
waterfight exams might go n,negative
kindest thing someone said days thank encouragement really needed made day,positive
got sunburned,negative
think identify,positive
thanks mark helping spread word gentle people virtually defenseless really sad,positive
hmm week thursday watching skies incomoming meteors,positive
anyone else noticed complete lack regard cyclists red lights london nearly got mown one earlier,negative
sorry youre badly,negative
wants go falkland cant cause stupid exams mtbcut going,negative
ooh thats bit disappointing,positive
night going pretty good far im haf,positive
alles klar,negative
great sunday ready lunch time,positive
keep amazing work supporting idol best thing fan,positive
take anymore super heavy ah curly thing head super hot omg,negative
good morningi donãââ½t know iãââ½m awake timei want sleep looooooong,negative
ever heard flesh eating mosquitos,positive
yup bakit nirecruit ka sa star recordscinema yan hehe,positive
starting first class edit center think rly going enjoy,positive
migranekeep company,positive
feeling going long month fighting state amp insurance agencies keep sons services going,negative
make new twitter account,positive
yip yip advertise guy advertise didnt carmen drop mag read tsk tsk,negative
bon iver show edinburgh cancelled one unhappy lynsey got excited,negative
love weather sunny cld tooo dull normal cloudy bright nice summer breeze whispering relax,positive
happy chipotle opened eugene 3rd day mexican food row,positive
think bike ride cards today maybe hampstead heath soup really going take 3hrs cook must patient,negative
time cleanin around house aventura time,negative
working till 630 scrapbooking life away,negative
work saturday,negative
many things updated weekend didnt sorry 5 watching lol,negative
misses girl,negative
sleepover kyla,positive
gud know kind hearted,positive
mabeeeeeeelllllllll sorry love still getting use twitter thing hahahaah,negative
catching blogreading damn havent much free time past weeks,negative
sorry feeling sad missing grandmother give call tonight gets home youll feel better,negative
exciting waterford going business figured id invest something wont quotcrashquot,negative
thx guys,positive
half marathon training day 1,negative
morning getting ready nursery run prepping meeting working till 1130 last night still ready,negative
cleaning room,negative
wish could ready sept cant get enough materials build stock show fair time wait,negative
im issues ill make,negative
either much fact idk ill even able let pay dont know good design anymore,negative
lost earphones phone couple months ago still cant find life sucks,negative
bad,negative
booo damn twitter,negative
figured babe,positive
go party time see soon twitter miss love bye bye,positive
fuck pms feel emo reason,negative
live austin right guess fox decided people outside dfw interested rangers,positive
sorry youre well,negative
isnt answering calls,negative
coach smells like pooh,positive
paulmac9 find evening youre working meet afterwork drink like used,positive
hi miss phone doesnt work,negative
parents sleeping im starting design contestwell ive done last contest result lost,negative
failed miserably 1st day diet good start weetbix butter chicken lunch casserole amp bread tea,negative
filabertoes always taste best night clubing 3am company great friends,positive
omg look prettyyy love dress jessica pink looks really good youu,positive
watched high school musical buddy anna good times,positive
damn walked way downstairs forgot tea cup almost done,negative
3 days til leave chicago gon na get one hot dogs ride ferry subway taxi,negative
back home belle please let ok,positive
goodmorning world,positive
hey guys r tripping think pretty ass ok,positive
ahhhhh perfect golfing weather got college though shaaaaaaaaaaaame,positive
5 weeks counting new york vegas including ufc 100,negative
tandoori temptations love indian,positive
wen u thought jonas brothers couldnt get anymore gayer one goes dancefags,negative
welcome back twitterverse certainly missed,positive
watching snlgreen day came,positive
yum looks good somehow im surprised ended digestif,positive
hawt yeah far lot salsaesque trip hop,positive
love whisper please give us another close eyes petals lym,positive
ap chemistry summer assignment,negative
make one nj xd pleasyyyyyy please ilovetaylor106,negative
yeah think ribbing despite fact hate looks im pleased though,positive
im ccccoooooooooold rainy,negative
already know much treating press,negative
dont think janets birthday shes loads people round dont wan na ive nothing,negative
dont care parents let kids thingsi swear teens talk parents anything daysim mean,positive
hate shes well,negative
missed sugarplum fairy livestream rar hopefully miss one bloc party,negative
shame going turn cold end week weekend,negative
aint got money damnit,negative
love fishing 4 phone,positive
mango cheesecake yumm,positive
oh ok congrats go smc u,positive
wishing pool party even tho thats thing saying wish work poopy,negative
singin waitin til extreme rules,positive
follow ppl,positive
im sad alltel wont alltel forever,negative
get 100 followers day using wwwtweeteraddercom add everyone train pay vip,positive
oh see like oh well looks like wont mowing meadows today,negative
yep anni creepy miss ya needa chillvery soon haha im going shopping cousin wed,positive
debut distant family member waiting ballroom open bored,positive
unhappy whole crisco kitchen carpet,negative
thats probably nineties thing say,positive
rush afternoon accidentally bought wrong volume aphorism manga,positive
yeahmake sure ur following,positive
feeling well cheesed bloody weather,negative
im wett asz bxtch duh wat yuh thought love twin jazz,positive
gg episode seemed really great im rly excited 2 reading new books lol x,positive
girls,positive
gon na watch lilian sing national anthem,positive
back va amp napa w priscilla amp visitor hopefully next year,positive
sorry hope feel better soon,negative
like aa one montrose westheimer rd,negative
love rain makes think much already miss,negative
eventhough busy tonight work good time,positive
booked new orleans 22nd birthday bash,positive
spilled strawberry mango margarita phonestill works missed bunch tweets tho,negative
justin told im 23 years old haha love moms genes,positive
ohpulls areally sad face ok,negative
last exam tomorrow mm watching rest movie awards sleep,negative
haha remember fell stair school thanks bad case vertigo,positive
sinner saint berlin bringing everything,negative
currently line princess theatre time low yay,positive
haha yup still terrible headache super swollen puffy eyes dont think im going todayugh,negative
nexus1967 isnt fixed idea youll able fix blocking annoying,negative
work early sucks,negative
lived,positive
think youll find lot friends twitter havent met yet,positive
dumb tomatoes arent growing,negative
lol guess youre right kucing married berantem,negative
love song ãââ new day music video ãââ,positive
feel hungryi want hungry jacks cant coz fatty food ive enough fatty consumption week sucky,negative
take days work ughit makes day come back absolute chaos,positive
last day oak grove next school year im going miss people work,negative
know get sad watching brea concert,negative
highfive,negative
didnt zombie played cod4 instead nothing worth playing really moment,negative
wish wasnt bored wish could always reading jessica darling series perfect fifths way short,negative
ouch rave reviews twitter defacto live nyc party review source,negative
check cinema bizarre melbourne vic eventfulcom,positive
quothow get better ive bestquot,negative
chillin kiddos park ice cream,positive
awesome boat trip,negative
im sorry loss,negative
2something funny janae said dont remember fyi wasnt keeping secret tv mad,negative
sooty winstanley beating brothers record policy catch precooked food falls fridge,positive
us still engaging iran particular prospect direct negotiations nuclear program cnn,negative
ice skating toooo cold nose red,negative
back school thursday,negative
hey disapper qip,positive
,negative
thanx ok didnt make sence though,negative
tough loss,negative
limit story 140 chr tell annoying wwwiamsoannoyedcom help relieve stress,positive
ugh english project im lazy,negative
sounds like best kind day,positive
im seeing nashville right,negative
ate choc yoghurt,negative
tired excited watch movie later,positive
oooo sounds like plan need stuff around house load laundry im,negative
dont mind funerals hate see person wake everyone crying wake,negative
least sick dont anything babysit today,negative
tiiiiiredneed start revision today,negative
friend graduated collegebachelor graphic designfuck im horny youlove havin many kidstrust see,positive
tell dont like mondays,negative
depressed think good story write,positive
meh coach isnt yet,positive
dammit didnt wake early enough use treadmill today disappointed,negative
busy work moment working tonight,negative
great ng work check new pew science brief 2 everything worse ipcc ar4,negative
copper river salmon paired argentinian malbec grilled 35 floors roof overlooking seattle bad dinner last night,negative
oh boring one,negative
wow love look look almost 30,positive
low acidic coffee indicated might available arrive shot,negative
taking pup walk,negative
ill ban,positive
throat hurrts nice skirts haha shopping weather come health warning hawt,positive
think fun got ta hide defend enemy fun huh,negative
train heading back home great day tweeples loaned 3 usb datacard amp got working,negative
good morning everyone today lovely day going hot one today stay cool,positive
agree guess like quotfor dont knowquot real fans would chat oh well tried,positive
fav since little gon na storm,negative
u dont know uve livin dark amp ull thank start following,positive
thanks thought would like know followed wishbone ash,positive
2day lush shopping sittin garden sun trying 2 top tan still hav white legs sunburnt knees,negative
one days,negative
bum im french x,negative
tweet included longest poem world wwwlongestpoemintheworldcomtweet14233,positive
caught,negative
happy birthday sista aline,positive
says heres deal chicago whoever loses cheers winner cup prepare cheer,positive
harry dagoe commented autograph photophppid1795502ampid826983954,positive
awwwwww poor dougie denied feelings still love lmfaooo,negative
hello eveybody,positive
ice age 3 cant wait see movie,positive
chili cornbread ready yet,negative
wow 7 exams thats crazy good luck,positive
know expect,negative
party awesome much fun wmy bff bedsooo exhaustedmy legs hurt lot,negative
oh thank ill drink tonight behalf well think guys play great show tonight,positive
cant believe wait till october see quotupquot americans get see weekend,negative
like,negative
miss girl much,negative
uh damn junior volunteer app long,negative
make one,negative
thank hugs,positive
looks like time lunch patio,positive
hate rain summer want go golfing always raining rained today supposed rain tomorrow,negative
still cant log sufi hotspot really hope back running soon,negative
cant sleep keep waking suddenly throat restricts breathing,negative
good morning world catching weeks episodes xplay amp homework joy,positive
cha like never seeing sarah,negative
today alone half done new kitchen two extra cupboards werent ordered visual space storage doubled,positive
refuse belive picture,negative
even u u couldnt upset,negative
great dialog std edu internetaccess mobile huge challenge digital divide big,positive
seeing hangover boytoy excitedddd,positive
liked braid guess whole relationship story metaphor sure hell confused,positive
raining yay,negative
ommggggg build bear spider man twit pic brith cert says name george pricilla,positive
tan coming back sucks,negative
thanks lot,positive
getting new double yellow volkswagen beetle happy star wars day,positive
little late thanks,positive
ooh long time see,positive
chillin open skies yall check havent already come see play preston next month,positive
good night everyone tex anything,positive
yeah stuff hotttt paints e badu wow didnt see pricing info though,positive
last day school today sad moment,negative
baby keep heart beat bbeat beat beating lt3,positive
enjoying quiet oh fanfic come,positive
thanks admit took,positive
watching simulation nowgetting bored work,negative
hanging uncle ryan jus met girlfriend really cool im glad together yeah havin fun see ya tomorrow,positive
ok computer still glitches ouch,negative
kid flashback asked daddy nintindo bought atari lmao damn ever1 else played super mario playing pitfall,negative
think best friend leah get twitter right,positive
wish miami heat finals,negative
guy told sound like haley paramore like quotsweetquot always thought since heard 1st album,positive
3 2 1 fight,negative
,negative
say youre connectivity issues pc always tricky diagnose event goes away,negative
hehe yeah omg hun great voice also play well guitar congratz,positive
back work today urgh days much better,negative
untouchedthe veronicas,negative
gr8 time uni tav 2day girls chillaxin home b4 gettin business,positive
im happy beat hard part game,positive
throat killing feel like two rock hard gum balls stuck,negative
new glutenfree treats trader joes rice cracker edamame chips divine,negative
omg legs really killing well back reality tests homeworks boring things wan na see mcfly,negative
like spanish makes fun one knows say haaha,positive
oooh hugs wen ur next sats gigxxxxx,positive
jus wonderinglol,positive
cousin toby died last night dont think handle anymore dieing year,negative
problemo luke ive good guys enjoy match last night,positive
voted tca voted david davids favorite artists well,positive
oh im smiling im sure going meeting office get back,negative
make worse snoring,negative
want new phone,negative
2246 quebec city good night everyone,positive
yumm look delicious celebs already,positive
youre never ready kids sometimes leap faith,positive
parents came move today yes left week clothes computer bedding,negative
finished sharing bath anna getting big even better anna peed ariana handing,positive
making lot food work today know work come get food 4pm 8pm,negative
working afternoon,positive
wow thanks nice words,positive
awwwwww know someone else went thru shit bloody stupid victim ends missing skool,negative
im feelin great today suns,negative
nice seeing everybody day,positive
well turned game,positive
youre kind woman,positive
wow susan boyle youre nice hope youre great keep singing,positive
myspacecomspeedshotuk new song,positive
lol hey fav peeps,positive
home coming,negative
bandsong youtube vid country restrictions,negative
thank u twitter keepin updated summerjam shout hot97 fam second thanks,positive
mum says quotthanks blokequot,positive
ouch cut hand trying open juice bottle soft girly hands,positive
dont know mean love dad works time love people stuff nc us well,positive
ah cheer sunny,positive
far im feelin ubertwitter,negative
tomorrow first day gym woohoo hahaha,positive
woke missing alabama terribly dad says moving soon thank god,negative
hurting first game,negative
thanks markus itll take getting used one thing sure ill blogging like crazy acorss 2 blogs,positive
thought friend,negative
forgotwill bring tomorrowbut listened today morning,negative
wishes famous could mtv music awards,positive
hi,positive
theyre real wish,negative
wow last blog got soo many comments already guys love blooper pics huh well get 2000 followers ill post 4,positive
awe thank charby bad vicodin n breastfeeding dont mix nerve n shit,negative
dont stand,positive
id forgotten upsetting,negative
carnage fish tank parents rammed net containing babies eaten bastids got 7 left,negative
show im going brand new weeks kinda ehhhh situation,negative
starting rain sun gone,negative
really getting sick,negative
want call somebody late would happy,positive
sister came room started really loud obnoxious woke earlier planned im bad mood ugh,negative
rise shine time get ready long day woohoo,positive
yes trying help cant really afford either bit scary still kittens,negative
video richard feynman playing bongos 1 mo prior death 20 yrs ago next minute maid tv ad,positive
good day im happy girl,positive
wish cornholio would follow,positive
tired finally getting bed today notna restfull day back work tomorrow rough night twitterites,positive
maan im tryna make new aim bitches wont lem make new email thats fucked,positive
going tivoli denmark class tomorrow,negative
idk hope u come something,negative
saddened revelation,negative
hope things improve,negative
cheering helpful brother surprised around 17k one year boost get end,positive
jacks last ballgame tonightwere gon na miss going games watching,negative
nifty use accelerometer indeed,positive
omg feel old like 27 came thanks putting perspective old codger hehe,positive
hes already dead anybody got anyone else target,negative
yay fall boy chronicles excuse dance around room,positive
driving around looking houses hopefully find ones like,negative
back studying,negative
give shes cute anymore guys ruined much fussin amp debating amp whining pics,negative
painted nails pink colour ive wanted paint ages,positive
auditions solo act last concert wed school auditioning w song sang one morning something etf,positive
isotope lite hits app store little shooter awesome full game next week defo must buy,negative
ordering food grad party haircut,negative
omg cheated one another nice,positive
know im glad shes found friend dakota shes good influence even shes younger,negative
write im im typing,negative
unfortunalty amp pond nice sunnyno pun intended rgds sir,positive
section 103 row g im feeling honor roll party beforehandactually party,positive
loving mayim wntw chelsea lately night doesnt wear pants public chelsea called quotsuper jewquot,negative
mom hates vodka shes paying rofl wonder citrus vodka would work start drinking imma want cigs,negative
stemstell bold statements interesting one dig,positive
poor melody take care u stop eating bad chicken lol im sure u cook chicken better like u much favourite pcd,negative
finally got bruce tickets wednesday sept 30th,negative
argh php mysql calendars want able modify msg_time,negative
shes blogging,positive
good morning,positive
stuck airport day vegas customer got cut hours,negative
work day favorite people ever,negative
im gon na lie bed day miserable cos audizzle newcastle im haha,negative
panel nice far interesting one chance hear surely put tinyos perspective,positive
ah leighton gutted speak later ok hugs xxx,positive
wwhaaa im sorry,negative
hmm feeling great today,positive
david performing im stuck tent cant even hear cellcast lovely,negative
awake things online making food bring drayton valley healthy animalfriendly foods arent plentiful dv,negative
hey chapstique new hairdo awesome,positive
english breakfast tea choc chip cookies stoop watching rain,positive
nothing today,negative
hiii,negative
well hello im glad pop twitter stream,positive
looks like go back sork earlier planned,negative
watching show makes want find jack even,negative
aww thx zach need followers lolz gnight,positive
ok p90x ordered well see goes perhaps months ill look cross fit place,positive
sun working tonight,negative
home n tired reinstall pc lab,negative
ooh id love black coffee thanks,positive
cool ill stop way home,positive
read article world hunger hitting 1b sitting comfortably eating cake good feeling,positive
happy saturday yall,positive
awesome never win stuff either,positive
walking like im 80 two bad hips great day alive,negative
bought tetris wiiiiiiiiiiiiiiiii freaken awesome anyone want verse 16 players,positive
presume ãâ35 contract isnt enough update one year,negative
cats protection society meet fletcher 4 year old cat cool name hope cool cat,positive
david micah jr get way early saturday waiting sissy wake make cinniamon rolls hope takes minute,negative
youre talking yourselfwere herelistening always replyingit gets boring replying pple dont respond,positive
sorry wish u though,negative
going sailing,negative
night go well phone got stolen wow still cant believe phone life sob sob bed tym nw,negative
well lost job today much buying dad new iphone,negative
hungry,negative
dont know band practicing,negative
omg happening today good times finnish college 24th june diary filling fast eeee exitment,negative
enjoying relaxing day sweet little man,positive
links automatically get turned tiny urls dont anything type,negative
today day tmro lol,positive
free icecream within 100 miles lubbock,positive
still pieces bids remember increments 50,positive
hell need ungrounded atls tweets arent without witty responses,positive
praying sunshine dont fancy play doh painting fireman sam loop sandcastles ice creams much fun,positive
looks soooo weird im totally going back natural color,negative
got new update ipod touch lost jailbreak,negative
aww sweet,positive
knowhayyyyyyyyy,negative
found hsc clashes 18th birthdayno partying,negative
never hear,negative
ugh ok gas,negative
good week sort one,positive
bored bored bored bored bored bored bored bored bored bored yes type damn ipod,negative
modern warfare 2 teaser,negative
4 steps 2 make money tweeting wwwtwittersecretcashcom,positive
summer jam sunday though heard jayz might show,negative
sad,negative
thank taste even better look work w event planners amp help,positive
hahaha write sad songs,positive
geography revision bad times,negative
ive got new one btw gon na jealous card got sis alexdeleon,negative
wow thanks replying back havent figured send direct messages yet hows new songs coming,positive
hell yea lakers next year go cleveland bday friday,positive
kp way back scotland ive bn heli lesson 6 amp felt lk gone back bit apparently stronger wind still,negative
finished first workout jillian michaels 30day making cut program feeling great hopefully eating good,positive
brandon flowers angelina jolie,negative
hey check ur mail im gon na send better pic though cause one sucked,positive
ridiculously cute one anyone needs know,positive
back work birds singing fancy horizontal fitness workout tho p women tho booooo,positive
start new job june 22nd im excited ill office manager,positive
girls creatures mark date 91809 calendars call everything cause dollhouse season 2 premiere,negative
work lot mail today also running late still 4,negative
im poor cant afford buy anything would like iphone price free,negative
philippines needs whole foods,negative
wait start running sanctuary started induce braxton hicks contractions,negative
heading 3 hr fix gear ride bit love bike workouts hills thrown also slept wcc ride,positive
hot day im crowded busthis isnt pleasant,negative
even gloomy outside,positive
ch3atndatz damn lie yu dropd likk bad habbit,negative
hope good dreams,positive
oh yeah get time followed quotso doesnt work youquot,positive
ohhhh yeah wu tanged,positive
got done working treadmill oh man im exhausted going back exercising everyday putting mind,negative
morgans recital oh miss dancing,negative
knit beanie earflaps,negative
phrase quotare yetquot springs mind,positive
think ive become immune nyquil wish wish friends oh well stay home one night live party next,negative
shopping com leeh hojee foi maraa,positive
awe sucks got ta go take pictures soon yearbook karamariela,negative
wanted participate think late,negative
one free,positive
dad one sympathy loss another birdi cant take itand tweety alone,negative
hi uploaded 5 completely new chinese lessons wwwyoutubecomchineselearn please feel free watch enjoy,positive
oh soooooo sad hope ok,negative
supposed high 60s discouraged,negative
raisins turned face red guess ill stop lol,negative
almost 1am im tired,negative
kno kno believe sometimes cant even control man aint cute quotprowlinquot b happenin,negative
mi papainlaw learning means 2 daughter got 2 something mi mamainlaw couldnt get 2 last 40 yrs,negative
quotcant keep believing deceiving im sick liequotevanescence notegood night,negative
matter time,positive
lolwe always find dead dinosaursits harder find random hs membersi wan na fun,negative
1017 huh sounds like long time mile beats best 2 minutes thoughugh,negative
im video chat w,positive
needs yooooou,negative
im feeling emotional mo,negative
yeah sure im coming observe 24thif history afternoon im observing,positive
im lost perth,negative
sent family yesterday back reality,negative
system change dead,negative
emilyyy cant think second series title nightmares become dreams,positive
im back poor baby doggie skye chiu wont stop yapping cage coz hates raining beside feet,negative
wowi envy able drive drive go karts,negative
ugh ready work 20 min sad panda,negative
need fucking job didnt go culinary school chance,negative
hmmm maybe shoulda grabbed jacket nips leading way,negative
totally cool never expected,positive
watching serie last match im awesomely sleepy,negative
bad friends hid chips inside ice cream cone went toilet,positive
owwhhahasinetron rupanyachelsea heheketinggalantah ku tu hoho thanks anyway,positive
dont know part day better ringsor sunglasses,negative
homedoing nothing looking something everyones home like us evidently,negative
gutted involved kioskiosk,negative
people rarely done research many read hetalia find theyre hating end liking,negative
lol thats ish right fuck em girl fuck em problem anit got girl 2 go n wit,positive
want kitty,negative
teaching morning anniversary party aft busy day bad rain,negative
awww thats another good movie,positive
britney spears concert amazing wish cud go,positive
im princess aint fairy tale,negative
youll seeing lot little girl,positive
computer incredibly slow tonight,negative
woke 5 im like half sleepsomeone get pillow blanket send 365 west broadway thats,positive
3 hours toa isnt lovely,negative
okay world today museum day tonight dgb anything else going chicagoland tonight feel like party,positive
dawn war 2 doesnt seem like pc wont sign live,negative
nsync cool pretty much boy band guy fans,positive
ok 1st day work done power suit hangin shoes love days like,positive
love twilight,positive
bye twitter,positive
thanks see weekend links,positive
yeh quite fulfilling better get back good luck amp lets plan coffee date soon xo,positive
mmmmm yummy,positive
awe get apartment come live w,negative
dropped homeboy fire orcypr valley northwoods ima hero cuz called 911 report julian,negative
aloha stop p grill sounds good im making coffee invited,positive
im watching 2grand wank anyway aidan win got ta 12 years older,negative
rainy day looking forward tonight,negative
congratulations graduation one go,positive
uh dont get ha,negative
im really craving pesto break diet one,positive
getting acquainted twitter,positive
hiiya im pretty fine xx,negative
yeah dr sid hammerback med examiner glasses weird lmao,positive
got unlimited paid lady 65 still owe 10 im missing 20,negative
waiting busugh hate town,negative
still havent went sleep great night,negative
awww someone sad carseat hair,negative
listening bon jovi photoshopping heavy machinery life could worse,negative
31 days leave ontario,negative
album awhilei disappointed discovering,negative
great time javaone conference excited sleep going go back notes took today sessions,positive
think ima take dee oh double gee walk,negative
hahaha xd looks fun,positive
got car back working good breaks,negative
counting hours lost sunshine weekend,negative
eurgh twitters watching walle first time tonight already loling awwing,positive
back hamilton twas funnnn feet arms tingly though sunsunsun,negative
really wanted good ol rubens win spanish gp earlier still disappointed soft spot hes lovely,negative
want blonde guitar,positive
think tail end link got cut short quoted post doesnt seem working,negative
going meet hot british guys black eye lol sorry eye hurts,negative
fuck lactose intolerant threw froyo earlier cold bundled bed relying ipod sing sleep gnighttt lt3,negative
haha name btw happy birthday luv ya,positive
move morecut fatquit smokingreduce stress protect pollution,negative
great nightand thank appreciate,positive
last night muh boys,positive
omg love,positive
ust,positive
horrible mood going bedhopefully itll go away morning,negative
use socksall mine got holes,negative
yup went tub got choco chip cookie dough new york something fudge brownie something,negative
nice performance done guys three cheers guys hiphip hooray,positive
wants see hangover one see,positive
lik 2 call babe,negative
bob called twit,negative
good morning thunderstorms hail right,positive
,negative
hey started following cant wait read updates,positive
mark given cold grrrr,negative
loves florence giving away free download jamie remix rabbitheart,positive
youd get twice treats cause theres two boobies,negative
happy burffday,positive
migraine stats subside inadvertantly eat cheese wont end well,negative
gooooood morning feel calm patient today thats awesome never feel,positive
okay showertime hahah oh gon na wear btw,positive
sad 10 min sold get tickets bastards im sorry,negative
problems tweetdeck,negative
never look chocolate muffin way work today,negative
ok im following happens,positive
im pickin hubby work n heard sumthin moving car squeals,negative
woohoo way vivo cindy jasmine,positive
bagel smells beautifully maple syrup taste found,negative
ugh miserable college apswork,negative
well,positive
got tent sbagmatwaterproofsstovepan1 nite food1lt h2o macpac amp lite 20ltr rucksack,positive
depressing embarrassing every decent person gt gt nick griffin north west fascist party,negative
moving house today woop wont net week though,negative
make concert thailand vietnam,positive
maintenance way,negative
shares icacfjsf joint fellowship last 30may09,negative
id love sure,positive
oop end post lol x,positive
making beautiful weather work,positive
wise always jump bright lights ill upgrade software available happy,positive
jajaja es q es verdad warner madrid wil go santander,negative
watching season finale hillsaww lauren,positive
thank agree def stranger twitterers cant stand ones tweet obscenities constantly,positive
fine im willing take side step,positive
oh yeah lol cant upset duck,negative
thats awful shes nice,negative
need coffee cant go starbucks shower,positive
babies bed hubbie leaves 2 wks morning,negative
superamazing best thing ive seen ages,positive
feel like grandpa 9pm struggling stay awake,negative
suppose hw ii amm ii ammmm,positive
quotmy binder full filled jackson doodlesquot nicole quotnooo filled time low doodles suck itquot,positive
whew finally back bus sore grad night fun,negative
voting teen choice awards though making computer slow,negative
doesnt feel positive anymore,negative
im playing grandchase,positive
lol start growing hard need keep track ph level,positive
wooo fuck yeah ill joining time week,negative
know think id prefer shall pass,positive
aaaaah academy coming dublin checks nope find anyway l,negative
early go work sadly,negative
absolutely land legit big man solid help lebron poor guys goes running big apple,negative
thankieeee dessert anyone,positive
much went ton grad parties,negative
outside aunts robby jammin jimi hendrix want leave,negative
ooo lovely concept love ribbon around neck,positive
600th update ah alright im really going 2 bed night lt3333,negative
damn msn video call sound wall cant even talk idea im technical enough,negative
went outside see fruit guy therehes dedicated,positive
oh dear sorry,negative
thinking bring needtom tiredmy poor baby,negative
oops go cant believe george omalley definitely greys anatomy want leave itll weird wo,negative
jazz scalp frustrating day,negative
americans get school us canadians,positive
sl playing,positive
girl yet im layin bed aint working,negative
pressing buttons kerrang radio 10 x,negative
cara right nothing l,positive
doh planned work cafe meeting eduroam working spent last ten minutes setting roamnet,negative
heading office shoe shopping come,positive
nobody gets feel,negative
star treket nãââ½zel,positive
think aircondition getting causing allegries act dont like im warming helping,negative
wont go back tomorrow return,negative
omg havent boredalone life,negative
hope said untrue way still deep love,negative
party,positive
austins last day kindergarten baby growing,negative
good morning woke 3 amp couldnt sleep went check everyones tweets amp account locked im finally back,positive
one weekends 1 thing going takes whole weekend,negative
yes believed global name ketchum change europe arm bigger changes,positive
awgirlll whats wrongg,negative
congrats instead lung cancer smoking get everyone elses hahaha,positive
haha twisted sick love think,negative
good mornin twitter world,positive
lol cant last weekend lol,positive
karol dropped luke first day daycare,positive
owr family jehtskii buht ihts winter ihave wait till summer jetskis fun,negative
gon na play games facebook beat charlie lt3 crazy taxi earlier didnt publish couldnt see lol,negative
wan na go england im sure possible anymore,negative
